iter	Passed	Remaining
966	4123	140
967	4127	136
968	4131	132
969	4134	127
970	4138	123
971	4143	119
972	4147	115
973	4150	110
974	4155	106
975	4159	102
976	4163	98
977	4166	93
978	4171	89
979	4175	85
980	4179	80
981	4184	76
982	4187	72
983	4191	68
984	4195	63
985	4199	59
986	4203	55
987	4206	51
988	4209	46
989	4213	42
990	4217	38
991	4220	34
992	4223	29
993	4227	25
994	4230	21
995	4234	17
996	4238	12
997	4242	8
998	4245	4
999	4249	0
